chart_name,mem,int,tru,emp,aes,itt,cft
COVID-1,5.628571429,4.636363636,3.676470588,3.925925926,4.305555556,4.75,4.916666667
COVID-10,4.555555556,5.444444444,5.028571429,4.794117647,5.5,5.454545455,5.305555556
COVID-11,3.111111111,4.777777778,4.636363636,3.636363636,5.111111111,4.333333333,4.805555556
COVID-12,3.388888889,5.142857143,5.611111111,4.233333333,4.388888889,4.575757576,4.942857143
COVID-2,4.222222222,5.228571429,5.885714286,5.09375,5.342857143,4.46875,4.888888889
COVID-3,2.916666667,5.222222222,5.514285714,3.709677419,4.2,4.060606061,4.75
COVID-4,5.555555556,5.916666667,4.310344828,5,5.583333333,5.206896552,5.222222222
COVID-5,4.888888889,5.888888889,6.111111111,5.393939394,5.194444444,5.193548387,5.777777778
COVID-6,2.171428571,4.942857143,4.419354839,4.264705882,4.514285714,3.96875,3.777777778
COVID-7,5.228571429,5.771428571,5.705882353,5.25,5.457142857,5.53125,5.971428571
COVID-8,3.771428571,5.342857143,5.117647059,4.685714286,5.277777778,4.411764706,5.194444444
COVID-9,2.972222222,4.228571429,4.882352941,3.65625,4.027777778,3.575757576,3.8
GlobalWarming-1,4.142857143,5.714285714,4.833333333,4.823529412,5.2,4.878787879,4.909090909
GlobalWarming-10,5.416666667,5.75,5.794117647,5.151515152,5.058823529,5.441176471,5.457142857
GlobalWarming-11,5.444444444,6.027777778,4.827586207,4.870967742,5.857142857,5.235294118,5.029411765
GlobalWarming-12,4.942857143,5.914285714,6.088235294,5.1875,4.833333333,5.457142857,5.472222222
GlobalWarming-2,3.888888889,5.088235294,4.580645161,4.161290323,4.944444444,4.121212121,4.65625
GlobalWarming-3,2.694444444,4.583333333,4.333333333,3.3125,4.303030303,3.741935484,3.764705882
GlobalWarming-4,6.166666667,5.75,5.121212121,4.903225806,5.583333333,5.8125,5.617647059
GlobalWarming-5,3.971428571,4.916666667,4.454545455,3.911764706,4.833333333,4.727272727,4.555555556
GlobalWarming-6,3.114285714,4.944444444,4.46875,4.3125,3.2,4.515151515,4.114285714
GlobalWarming-7,5.861111111,5.555555556,5.4,4.970588235,5.428571429,5.705882353,5.5
GlobalWarming-8,4.361111111,6.166666667,4.212121212,4.515151515,5.638888889,4.771428571,4.944444444
GlobalWarming-9,2.722222222,5.444444444,5.558823529,4.242424242,5.028571429,3.555555556,3.885714286
HousePrice-1,5.388888889,5.111111111,4.090909091,4.735294118,4.75,4.818181818,4.771428571
HousePrice-10,5.228571429,5.428571429,3.9375,4.15625,4.944444444,5.029411765,5.305555556
HousePrice-11,5.527777778,5.833333333,5.676470588,5.117647059,6.138888889,5.764705882,6.085714286
HousePrice-12,4.611111111,5.666666667,5.617647059,5.352941176,5.416666667,5.428571429,4.944444444
HousePrice-2,3.527777778,4.428571429,3.967741935,3.416666667,3.194444444,3.794117647,3.805555556
HousePrice-3,3.222222222,5.111111111,5.514285714,4.411764706,4.444444444,4.228571429,4.342857143
HousePrice-4,2.805555556,3.666666667,4.818181818,3.294117647,3.027777778,3.705882353,3.571428571
HousePrice-5,4.833333333,5.277777778,5.411764706,4.147058824,4.888888889,4.694444444,5.083333333
HousePrice-6,4.583333333,5.694444444,5.852941176,4.666666667,5.666666667,5.085714286,5.444444444
HousePrice-7,5.777777778,5.722222222,5.571428571,4.516129032,5.305555556,5.5,5.714285714
HousePrice-8,3.166666667,5.542857143,5.606060606,4.580645161,5.388888889,5.028571429,4.885714286
HousePrice-9,3.555555556,5.388888889,5.823529412,4.806451613,4.138888889,4.588235294,4.685714286
