chart_name,person_id,mem,int,tru,emp,aes,itt,cft,model
COVID-1,persona_0,6,5,7,5,5,6,6,gpt-4o
COVID-1,persona_1,5,5,7,4,4,5,5,gpt-4o
COVID-1,persona_2,4,4,6,5,3,4,4,gpt-4o
COVID-1,persona_3,6,6,6,6,5,7,6,gpt-4o
COVID-1,persona_4,5,5,6,5,4,5,5,gpt-4o
COVID-1,persona_5,6,6,6,5,5,6,6,gpt-4o
COVID-2,persona_0,5,7,7,5,5,6,6,gpt-4o
COVID-2,persona_1,4,5,7,4,4,5,5,gpt-4o
COVID-2,persona_2,3,4,6,5,3,4,4,gpt-4o
COVID-2,persona_3,6,7,7,6,5,7,6,gpt-4o
COVID-2,persona_4,5,5,6,5,4,5,5,gpt-4o
COVID-2,persona_5,5,7,7,5,5,6,6,gpt-4o
COVID-3,persona_0,6,5,7,5,5,6,6,gpt-4o
COVID-3,persona_1,5,5,6,4,4,5,5,gpt-4o
COVID-3,persona_2,4,4,5,5,3,4,4,gpt-4o
COVID-3,persona_3,6,6,7,6,5,7,6,gpt-4o
COVID-3,persona_4,5,5,6,5,4,5,5,gpt-4o
COVID-3,persona_5,5,5,6,5,5,6,6,gpt-4o
COVID-4,persona_0,6,7,7,5,6,6,6,gpt-4o
COVID-4,persona_1,5,6,6,4,5,5,5,gpt-4o
COVID-4,persona_2,4,4,5,5,4,4,4,gpt-4o
COVID-4,persona_3,6,7,7,6,6,7,6,gpt-4o
COVID-4,persona_4,5,5,6,5,5,5,5,gpt-4o
COVID-4,persona_5,5,7,7,5,6,6,6,gpt-4o
COVID-5,persona_0,6,6,7,5,6,7,6,gpt-4o
COVID-5,persona_1,5,6,6,4,5,5,5,gpt-4o
COVID-5,persona_2,4,4,6,5,4,4,4,gpt-4o
COVID-5,persona_3,6,6,7,6,5,7,6,gpt-4o
COVID-5,persona_4,5,5,6,5,5,5,5,gpt-4o
COVID-5,persona_5,6,6,7,5,6,6,6,gpt-4o
COVID-6,persona_0,6,6,7,5,5,6,6,gpt-4o
COVID-6,persona_1,5,5,6,4,5,5,5,gpt-4o
COVID-6,persona_2,4,4,5,5,4,4,4,gpt-4o
COVID-6,persona_3,6,6,7,6,5,7,6,gpt-4o
COVID-6,persona_4,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_5,5,6,7,5,6,6,6,gpt-4o
COVID-2,persona_6,5,4,6,4,6,5,5,gpt-4o
COVID-2,persona_7,6,5,6,6,5,5,5,gpt-4o
COVID-2,persona_8,4,4,5,3,5,4,4,gpt-4o
COVID-2,persona_9,5,5,5,4,6,5,5,gpt-4o
COVID-2,persona_10,5,6,6,6,5,5,5,gpt-4o
COVID-2,persona_11,4,3,5,4,4,3,3,gpt-4o
COVID-3,persona_6,5,4,5,4,6,5,5,gpt-4o
COVID-3,persona_7,6,4,6,5,5,5,5,gpt-4o
COVID-3,persona_8,5,5,5,4,5,5,5,gpt-4o
COVID-3,persona_9,6,6,4,5,6,6,6,gpt-4o
COVID-3,persona_10,5,5,5,4,5,5,5,gpt-4o
COVID-3,persona_11,4,3,5,4,4,4,4,gpt-4o
COVID-4,persona_6,6,5,6,5,7,6,6,gpt-4o
COVID-4,persona_7,5,6,5,4,6,6,5,gpt-4o
COVID-4,persona_8,5,4,4,4,6,5,5,gpt-4o
COVID-4,persona_9,6,6,5,5,7,6,6,gpt-4o
COVID-4,persona_10,4,5,5,4,5,5,5,gpt-4o
COVID-4,persona_11,3,3,4,3,5,4,4,gpt-4o
COVID-5,persona_6,5,5,6,5,5,6,6,gpt-4o
COVID-5,persona_7,6,5,6,5,5,6,6,gpt-4o
COVID-5,persona_8,4,3,5,3,4,4,4,gpt-4o
COVID-5,persona_9,6,5,5,4,5,6,6,gpt-4o
COVID-5,persona_10,5,6,6,6,5,6,6,gpt-4o
COVID-5,persona_11,3,3,4,3,4,4,4,gpt-4o
COVID-6,persona_6,5,4,5,4,5,5,5,gpt-4o
COVID-6,persona_7,4,5,6,5,4,5,5,gpt-4o
COVID-6,persona_8,4,3,4,3,4,4,4,gpt-4o
COVID-6,persona_9,5,5,5,5,5,5,5,gpt-4o
COVID-6,persona_10,5,6,6,6,5,5,5,gpt-4o
COVID-6,persona_11,3,3,4,3,4,4,4,gpt-4o
COVID-7,persona_6,6,5,6,5,6,6,6,gpt-4o
COVID-7,persona_7,5,5,6,5,5,5,5,gpt-4o
COVID-7,persona_8,4,4,5,3,5,4,4,gpt-4o
COVID-7,persona_9,6,6,5,5,6,6,6,gpt-4o
COVID-7,persona_10,5,6,6,6,5,5,5,gpt-4o
COVID-7,persona_11,4,3,5,4,4,4,4,gpt-4o
COVID-3,persona_12,5,5,6,4,4,5,5,gpt-4o
COVID-3,persona_13,5,4,5,3,4,4,4,gpt-4o
COVID-3,persona_14,4,3,5,3,4,4,4,gpt-4o
COVID-3,persona_15,5,5,6,4,5,5,5,gpt-4o
COVID-3,persona_16,4,4,5,3,4,4,4,gpt-4o
COVID-3,persona_17,5,5,6,4,4,5,5,gpt-4o
COVID-4,persona_12,5,5,6,5,5,5,5,gpt-4o
COVID-4,persona_13,6,6,6,5,6,6,6,gpt-4o
COVID-4,persona_14,5,5,6,5,5,5,5,gpt-4o
COVID-4,persona_15,5,5,6,4,5,5,5,gpt-4o
COVID-4,persona_16,6,6,6,5,6,6,6,gpt-4o
COVID-4,persona_17,5,5,5,4,5,5,5,gpt-4o
COVID-5,persona_12,6,6,7,6,6,6,6,gpt-4o
COVID-5,persona_13,5,5,6,5,5,5,5,gpt-4o
COVID-5,persona_14,5,5,6,5,5,5,5,gpt-4o
COVID-5,persona_15,5,5,6,5,5,5,5,gpt-4o
COVID-5,persona_16,5,5,6,5,5,5,5,gpt-4o
COVID-5,persona_17,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_12,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_13,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_14,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_15,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_16,5,5,6,5,5,5,5,gpt-4o
COVID-6,persona_17,5,5,6,5,5,5,5,gpt-4o
COVID-7,persona_12,6,6,7,6,6,6,6,gpt-4o
COVID-7,persona_13,5,6,6,5,6,6,6,gpt-4o
COVID-7,persona_14,6,6,7,6,6,6,6,gpt-4o
COVID-7,persona_15,5,5,6,5,5,5,5,gpt-4o
COVID-7,persona_16,6,6,7,6,6,6,6,gpt-4o
COVID-7,persona_17,5,5,6,5,5,5,5,gpt-4o
COVID-8,persona_12,6,6,7,6,6,6,6,gpt-4o
COVID-8,persona_13,5,6,6,6,6,6,6,gpt-4o
COVID-8,persona_14,6,6,7,6,6,6,6,gpt-4o
COVID-8,persona_15,6,6,7,6,6,6,6,gpt-4o
COVID-8,persona_16,6,6,7,6,6,6,6,gpt-4o
COVID-8,persona_17,5,5,6,5,5,5,5,gpt-4o
COVID-4,persona_18,5,4,6,4,5,6,6,gpt-4o
COVID-4,persona_19,6,4,7,3,5,5,5,gpt-4o
COVID-4,persona_20,5,3,6,4,4,5,5,gpt-4o
COVID-4,persona_21,4,4,6,5,5,5,5,gpt-4o
COVID-4,persona_22,5,5,6,4,5,6,5,gpt-4o
COVID-4,persona_23,5,4,5,6,5,6,6,gpt-4o
COVID-5,persona_18,4,4,7,5,5,6,6,gpt-4o
COVID-5,persona_19,5,5,6,4,4,5,5,gpt-4o
COVID-5,persona_20,5,4,6,5,4,6,5,gpt-4o
COVID-5,persona_21,4,5,6,5,5,5,5,gpt-4o
COVID-5,persona_22,4,4,6,4,5,6,5,gpt-4o
COVID-5,persona_23,5,4,7,6,5,6,5,gpt-4o
COVID-6,persona_18,5,4,6,4,5,5,6,gpt-4o
COVID-6,persona_19,6,4,7,4,5,5,5,gpt-4o
COVID-6,persona_20,5,3,6,5,4,5,5,gpt-4o
COVID-6,persona_21,4,5,6,5,5,5,6,gpt-4o
COVID-6,persona_22,5,4,6,4,5,5,5,gpt-4o
COVID-6,persona_23,5,4,6,6,5,6,6,gpt-4o
