chart_name,mem,int,tru,emp,aes,itt,cft
COVID-1,4.916666666666667,5.277777777777778,5.777777777777778,4.361111111111111,4.694444444444445,5.25,5.138888888888889
COVID-10,5.305555555555555,5.222222222222222,5.972222222222222,4.527777777777778,5.027777777777778,5.166666666666667,5.166666666666667
COVID-11,5.416666666666667,5.305555555555555,6.055555555555555,4.416666666666667,5.138888888888889,5.333333333333333,5.194444444444445
COVID-12,5.277777777777778,5.5,6.083333333333333,4.416666666666667,5.0,5.333333333333333,5.25
COVID-2,5.055555555555555,5.277777777777778,5.916666666666667,4.611111111111111,4.805555555555555,5.194444444444445,5.166666666666667
COVID-3,5.222222222222222,5.055555555555555,5.694444444444445,4.388888888888889,4.666666666666667,5.166666666666667,5.194444444444445
COVID-4,5.166666666666667,5.194444444444445,5.833333333333333,4.5,5.277777777777778,5.388888888888889,5.277777777777778
COVID-5,5.166666666666667,5.194444444444445,6.194444444444445,4.888888888888889,5.194444444444445,5.527777777777778,5.388888888888889
COVID-6,5.083333333333333,4.666666666666667,5.805555555555555,4.5,4.722222222222222,4.888888888888889,4.972222222222222
COVID-7,5.444444444444445,5.027777777777778,6.166666666666667,4.75,5.333333333333333,5.583333333333333,5.388888888888889
COVID-8,5.388888888888889,5.166666666666667,6.194444444444445,4.666666666666667,5.222222222222222,5.361111111111111,5.305555555555555
COVID-9,5.333333333333333,5.305555555555555,6.111111111111111,4.611111111111111,5.138888888888889,5.333333333333333,5.222222222222222
GlobalWarming-1,5.277777777777778,5.805555555555555,6.055555555555555,4.416666666666667,5.277777777777778,5.611111111111111,5.472222222222222
GlobalWarming-10,5.277777777777778,5.444444444444445,5.972222222222222,4.444444444444445,5.361111111111111,5.416666666666667,5.277777777777778
GlobalWarming-11,5.416666666666667,5.833333333333333,6.194444444444445,4.555555555555555,5.666666666666667,5.555555555555555,5.388888888888889
GlobalWarming-12,5.472222222222222,5.944444444444445,6.138888888888889,4.666666666666667,5.555555555555555,5.444444444444445,5.444444444444445
GlobalWarming-2,5.333333333333333,5.722222222222222,6.0,4.583333333333333,5.222222222222222,5.388888888888889,5.305555555555555
GlobalWarming-3,5.444444444444445,5.75,6.027777777777778,4.888888888888889,5.333333333333333,5.638888888888889,5.444444444444445
GlobalWarming-4,5.166666666666667,5.666666666666667,5.888888888888889,4.888888888888889,5.25,5.527777777777778,5.444444444444445
GlobalWarming-5,5.333333333333333,5.777777777777778,6.0,4.805555555555555,5.444444444444445,5.75,5.527777777777778
GlobalWarming-6,5.277777777777778,5.611111111111111,5.916666666666667,4.722222222222222,5.305555555555555,5.527777777777778,5.416666666666667
GlobalWarming-7,5.527777777777778,5.722222222222222,6.25,4.944444444444445,5.277777777777778,5.722222222222222,5.583333333333333
GlobalWarming-8,5.444444444444445,5.805555555555555,6.138888888888889,4.805555555555555,5.416666666666667,5.666666666666667,5.333333333333333
GlobalWarming-9,5.166666666666667,5.722222222222222,5.972222222222222,4.472222222222222,5.166666666666667,5.333333333333333,5.194444444444445
HousePrice-1,5.361111111111111,5.388888888888889,5.583333333333333,3.8055555555555554,5.277777777777778,5.222222222222222,5.027777777777778
HousePrice-10,5.138888888888889,5.305555555555555,5.888888888888889,4.0,5.083333333333333,5.361111111111111,5.083333333333333
HousePrice-11,5.472222222222222,5.694444444444445,5.861111111111111,4.222222222222222,5.527777777777778,5.638888888888889,5.277777777777778
HousePrice-12,5.555555555555555,5.833333333333333,5.833333333333333,4.388888888888889,5.527777777777778,5.583333333333333,5.305555555555555
HousePrice-2,4.972222222222222,5.027777777777778,5.388888888888889,3.638888888888889,4.805555555555555,4.888888888888889,4.75
HousePrice-3,5.333333333333333,5.527777777777778,5.611111111111111,4.027777777777778,5.166666666666667,5.305555555555555,5.0
HousePrice-4,5.305555555555555,5.222222222222222,5.666666666666667,3.9722222222222223,5.027777777777778,5.0,4.916666666666667
HousePrice-5,5.583333333333333,5.472222222222222,5.861111111111111,4.305555555555555,4.916666666666667,5.444444444444445,5.138888888888889
HousePrice-6,5.305555555555555,5.277777777777778,5.888888888888889,4.277777777777778,4.75,5.361111111111111,5.0
HousePrice-7,5.166666666666667,5.194444444444445,5.944444444444445,4.027777777777778,4.833333333333333,5.333333333333333,5.083333333333333
HousePrice-8,5.361111111111111,5.444444444444445,6.055555555555555,4.416666666666667,4.972222222222222,5.333333333333333,5.166666666666667
HousePrice-9,5.277777777777778,5.333333333333333,5.888888888888889,4.194444444444445,5.111111111111111,5.333333333333333,5.138888888888889
