index,chart_name,person_id,mem,int,tru,emp,aes,itt,cft,model
0,COVID-1,persona_0,2,5,3,2,6,4,5,llama_32_11B
1,COVID-2,persona_0,1,6,4,3,2,5,6,llama_32_11B
2,COVID-3,persona_0,4,6,5,4,6,7,6,llama_32_11B
3,COVID-4,persona_0,6,5,4,3,7,6,5,llama_32_11B
4,COVID-5,persona_0,4,6,5,3,6,5,4,llama_32_11B
5,COVID-6,persona_0,4,5,3,2,6,7,5,llama_32_11B
6,COVID-2,persona_1,1,6,4,2,3,5,6,llama_32_11B
7,COVID-3,persona_1,3,4,4,3,4,4,4,llama_32_11B
8,COVID-4,persona_1,4,3,4,3,4,4,4,llama_32_11B
9,COVID-5,persona_1,3,5,4,3,6,5,4,llama_32_11B
10,COVID-6,persona_1,3,4,3,2,4,3,4,llama_32_11B
11,COVID-7,persona_1,2,5,4,3,6,4,5,llama_32_11B
12,COVID-3,persona_2,4,5,4,4,4,4,5,llama_32_11B
13,COVID-4,persona_2,4,3,4,3,4,3,4,llama_32_11B
14,COVID-5,persona_2,4,6,4,3,5,4,5,llama_32_11B
15,COVID-6,persona_2,3,4,3,2,4,3,4,llama_32_11B
16,COVID-7,persona_2,3,6,4,3,5,4,5,llama_32_11B
17,COVID-8,persona_2,4,6,4,4,4,4,4,llama_32_11B
18,COVID-4,persona_3,4,5,4,3,6,5,5,llama_32_11B
19,COVID-5,persona_3,4,6,5,4,6,5,6,llama_32_11B
20,COVID-6,persona_3,7,6,4,3,5,6,5,llama_32_11B
21,COVID-7,persona_3,4,6,5,3,6,5,6,llama_32_11B
22,COVID-8,persona_3,4,6,4,4,5,6,5,llama_32_11B
23,COVID-9,persona_3,4,6,4,3,5,6,5,llama_32_11B
24,COVID-5,persona_4,2,3,4,2,5,4,4,llama_32_11B
25,COVID-6,persona_4,7,4,3,2,5,6,4,llama_32_11B
26,COVID-7,persona_4,4,5,4,3,4,5,5,llama_32_11B
27,COVID-8,persona_4,4,5,4,4,5,5,5,llama_32_11B
28,COVID-9,persona_4,4,5,4,3,4,5,5,llama_32_11B
29,COVID-10,persona_4,3,4,4,3,2,4,4,llama_32_11B
30,COVID-6,persona_5,7,6,4,3,5,6,5,llama_32_11B
31,COVID-7,persona_5,3,6,4,3,5,4,5,llama_32_11B
32,COVID-8,persona_5,4,6,4,4,6,6,6,llama_32_11B
33,COVID-9,persona_5,3,6,4,3,5,6,5,llama_32_11B
34,COVID-10,persona_5,3,6,4,3,6,5,6,llama_32_11B
35,COVID-11,persona_5,4,6,4,3,5,6,5,llama_32_11B
36,COVID-7,persona_6,4,5,4,3,6,5,5,llama_32_11B
37,COVID-8,persona_6,4,6,4,4,6,6,6,llama_32_11B
38,COVID-9,persona_6,1,6,4,2,6,5,6,llama_32_11B
39,COVID-10,persona_6,3,4,4,3,6,5,4,llama_32_11B
40,COVID-11,persona_6,4,6,5,4,6,5,6,llama_32_11B
41,COVID-12,persona_6,4,5,4,3,5,4,4,llama_32_11B
42,COVID-8,persona_7,4,6,4,4,6,6,6,llama_32_11B
43,COVID-9,persona_7,4,6,4,3,5,6,5,llama_32_11B
44,COVID-10,persona_7,3,6,4,3,6,5,6,llama_32_11B
45,COVID-11,persona_7,4,6,5,4,5,6,5,llama_32_11B
46,COVID-12,persona_7,4,6,5,4,3,5,6,llama_32_11B
47,COVID-1,persona_7,1,3,4,4,2,6,5,llama_32_11B
48,COVID-9,persona_8,1,6,4,2,5,3,6,llama_32_11B
49,COVID-10,persona_8,3,4,4,3,6,5,4,llama_32_11B
50,COVID-11,persona_8,4,5,4,3,5,5,5,llama_32_11B
51,COVID-12,persona_8,3,4,4,3,4,4,4,llama_32_11B
52,COVID-1,persona_8,1,2,3,4,5,6,7,llama_32_11B
53,COVID-2,persona_8,1,6,4,3,2,5,6,llama_32_11B
54,COVID-10,persona_9,3,6,4,3,6,5,6,llama_32_11B
55,COVID-11,persona_9,4,6,5,4,6,5,6,llama_32_11B
56,COVID-12,persona_9,4,6,4,3,5,4,5,llama_32_11B
57,COVID-1,persona_9,1,2,3,4,5,6,7,llama_32_11B
58,COVID-2,persona_9,1,6,4,3,2,5,6,llama_32_11B
59,COVID-3,persona_9,4,6,4,4,5,6,6,llama_32_11B
60,COVID-11,persona_10,4,5,4,3,5,5,4,llama_32_11B
61,COVID-12,persona_10,4,5,4,3,4,5,4,llama_32_11B
62,COVID-1,persona_10,1,2,3,4,5,6,7,llama_32_11B
63,COVID-2,persona_10,1,6,4,3,2,5,6,llama_32_11B
64,COVID-3,persona_10,4,6,4,4,6,6,6,llama_32_11B
65,COVID-4,persona_10,4,6,5,3,6,5,6,llama_32_11B
66,COVID-12,persona_11,4,5,4,3,4,5,4,llama_32_11B
67,COVID-1,persona_11,1,3,2,4,6,5,7,llama_32_11B
68,COVID-2,persona_11,3,5,4,2,6,7,5,llama_32_11B
69,COVID-3,persona_11,4,5,6,4,6,5,6,llama_32_11B
70,COVID-4,persona_11,4,6,5,3,6,5,6,llama_32_11B
71,COVID-5,persona_11,4,6,5,3,6,5,6,llama_32_11B
72,COVID-1,persona_12,1,2,3,4,5,6,7,llama_32_11B
73,COVID-2,persona_12,1,6,4,2,3,5,6,llama_32_11B
74,COVID-3,persona_12,4,6,4,4,5,6,6,llama_32_11B
75,COVID-4,persona_12,3,5,4,3,6,5,4,llama_32_11B
76,COVID-5,persona_12,1,6,4,2,7,5,3,llama_32_11B
77,COVID-6,persona_12,7,6,4,3,5,6,5,llama_32_11B
78,COVID-2,persona_13,1,6,4,2,3,5,6,llama_32_11B
79,COVID-3,persona_13,4,6,4,4,6,6,6,llama_32_11B
80,COVID-4,persona_13,4,6,4,4,6,5,6,llama_32_11B
81,COVID-5,persona_13,4,6,4,3,5,6,5,llama_32_11B
82,COVID-6,persona_13,7,6,4,3,5,6,5,llama_32_11B
83,COVID-7,persona_13,4,6,4,3,5,4,5,llama_32_11B
84,COVID-3,persona_14,4,6,5,4,5,6,5,llama_32_11B
85,COVID-4,persona_14,4,5,4,3,6,5,5,llama_32_11B
86,COVID-5,persona_14,1,4,4,1,6,4,4,llama_32_11B
87,COVID-6,persona_14,4,5,4,3,5,6,5,llama_32_11B
88,COVID-7,persona_14,4,6,5,4,6,5,6,llama_32_11B
89,COVID-8,persona_14,4,6,4,4,6,6,6,llama_32_11B
90,COVID-4,persona_15,4,6,5,3,6,5,6,llama_32_11B
91,COVID-5,persona_15,4,6,5,3,7,6,5,llama_32_11B
92,COVID-6,persona_15,7,5,4,3,6,5,4,llama_32_11B
93,COVID-7,persona_15,4,6,5,3,5,4,6,llama_32_11B
94,COVID-8,persona_15,4,6,4,4,6,6,6,llama_32_11B
95,COVID-9,persona_15,1,6,7,2,5,4,6,llama_32_11B
96,COVID-5,persona_16,3,6,4,3,5,6,5,llama_32_11B
97,COVID-6,persona_16,4,5,3,2,6,4,5,llama_32_11B
98,COVID-7,persona_16,4,6,4,3,5,4,5,llama_32_11B
99,COVID-8,persona_16,4,6,3,4,5,6,5,llama_32_11B
100,COVID-9,persona_16,1,6,4,2,5,3,4,llama_32_11B
101,COVID-10,persona_16,4,6,4,3,5,4,5,llama_32_11B
102,COVID-6,persona_17,4,5,4,3,5,6,5,llama_32_11B
103,COVID-7,persona_17,4,6,5,3,5,6,5,llama_32_11B
104,COVID-8,persona_17,4,6,5,3,5,6,5,llama_32_11B
105,COVID-9,persona_17,1,6,4,3,2,5,4,llama_32_11B
106,COVID-10,persona_17,3,6,4,3,6,5,6,llama_32_11B
107,COVID-11,persona_17,4,5,4,3,5,5,5,llama_32_11B
108,COVID-7,persona_18,3,6,4,3,5,6,5,llama_32_11B
109,COVID-8,persona_18,4,6,4,4,5,6,5,llama_32_11B
110,COVID-9,persona_18,3,6,4,3,5,6,5,llama_32_11B
111,COVID-10,persona_18,3,6,4,3,6,5,6,llama_32_11B
