chart_name,mem,int,tru,emp,aes,itt,cft
COVID-1,5.194444444444445,5.694444444444445,6.138888888888889,4.444444444444445,4.722222222222222,5.111111111111111,4.75
COVID-10,5.944444444444445,6.305555555555555,6.416666666666667,5.138888888888889,5.5,5.777777777777778,5.388888888888889
COVID-11,5.861111111111111,6.444444444444445,6.611111111111111,4.888888888888889,6.027777777777778,5.861111111111111,5.611111111111111
COVID-12,5.416666666666667,6.194444444444445,6.138888888888889,4.611111111111111,5.138888888888889,5.416666666666667,5.083333333333333
COVID-2,5.416666666666667,5.972222222222222,6.222222222222222,4.722222222222222,5.111111111111111,5.333333333333333,5.111111111111111
COVID-3,5.166666666666667,5.916666666666667,6.0,4.444444444444445,5.194444444444445,5.0,4.972222222222222
COVID-4,5.5,6.027777777777778,6.027777777777778,4.638888888888889,5.472222222222222,5.333333333333333,5.222222222222222
COVID-5,5.805555555555555,6.083333333333333,6.416666666666667,5.166666666666667,5.583333333333333,5.833333333333333,5.416666666666667
COVID-6,5.638888888888889,6.277777777777778,6.277777777777778,4.972222222222222,5.444444444444445,5.555555555555555,5.388888888888889
COVID-7,5.944444444444445,6.5,6.472222222222222,5.166666666666667,5.777777777777778,5.916666666666667,5.583333333333333
COVID-8,6.083333333333333,6.444444444444445,6.583333333333333,5.138888888888889,5.972222222222222,6.027777777777778,5.75
COVID-9,5.777777777777778,6.361111111111111,6.416666666666667,5.055555555555555,5.527777777777778,5.722222222222222,5.361111111111111
GlobalWarming-1,5.833333333333333,6.5,6.388888888888889,5.222222222222222,5.444444444444445,5.805555555555555,4.972222222222222
GlobalWarming-10,5.694444444444445,6.361111111111111,6.555555555555555,5.472222222222222,5.583333333333333,5.833333333333333,5.027777777777778
GlobalWarming-11,6.416666666666667,6.805555555555555,6.444444444444445,5.638888888888889,6.027777777777778,6.416666666666667,5.388888888888889
GlobalWarming-12,6.416666666666667,6.861111111111111,6.777777777777778,5.666666666666667,6.083333333333333,6.416666666666667,5.583333333333333
GlobalWarming-2,5.666666666666667,6.416666666666667,6.305555555555555,5.027777777777778,5.416666666666667,5.583333333333333,5.055555555555555
GlobalWarming-3,5.361111111111111,6.388888888888889,6.444444444444445,4.722222222222222,5.361111111111111,5.333333333333333,4.861111111111111
GlobalWarming-4,5.722222222222222,5.833333333333333,6.277777777777778,4.583333333333333,5.388888888888889,5.722222222222222,5.027777777777778
GlobalWarming-5,5.555555555555555,6.305555555555555,6.25,4.916666666666667,6.194444444444445,5.638888888888889,5.138888888888889
GlobalWarming-6,5.777777777777778,6.555555555555555,6.777777777777778,5.222222222222222,4.972222222222222,5.944444444444445,5.222222222222222
GlobalWarming-7,6.388888888888889,6.527777777777778,6.888888888888889,5.555555555555555,6.222222222222222,6.444444444444445,5.638888888888889
GlobalWarming-8,6.111111111111111,6.638888888888889,6.722222222222222,5.5,5.722222222222222,6.055555555555555,5.25
GlobalWarming-9,6.166666666666667,6.805555555555555,6.25,5.805555555555555,5.972222222222222,6.0,5.277777777777778
HousePrice-1,5.305555555555555,5.916666666666667,5.833333333333333,4.194444444444445,5.472222222222222,5.222222222222222,4.527777777777778
HousePrice-10,5.222222222222222,5.916666666666667,5.805555555555555,4.222222222222222,4.861111111111111,5.222222222222222,4.694444444444445
HousePrice-11,6.027777777777778,6.555555555555555,6.083333333333333,4.972222222222222,6.361111111111111,5.833333333333333,5.444444444444445
HousePrice-12,6.222222222222222,6.611111111111111,6.222222222222222,5.138888888888889,6.0,6.0,5.416666666666667
HousePrice-2,4.527777777777778,5.333333333333333,5.583333333333333,3.6666666666666665,4.222222222222222,4.638888888888889,4.055555555555555
HousePrice-3,5.388888888888889,6.222222222222222,6.194444444444445,4.416666666666667,5.388888888888889,5.333333333333333,4.75
HousePrice-4,5.666666666666667,6.138888888888889,6.166666666666667,4.638888888888889,5.75,5.694444444444445,5.194444444444445
HousePrice-5,5.833333333333333,6.361111111111111,6.5,4.805555555555555,5.222222222222222,5.916666666666667,5.111111111111111
HousePrice-6,5.5,6.333333333333333,6.25,4.555555555555555,5.694444444444445,5.527777777777778,5.083333333333333
HousePrice-7,6.027777777777778,6.416666666666667,6.527777777777778,4.861111111111111,5.694444444444445,6.277777777777778,5.555555555555555
HousePrice-8,5.916666666666667,6.416666666666667,6.333333333333333,4.694444444444445,6.166666666666667,5.944444444444445,5.388888888888889
HousePrice-9,5.916666666666667,6.5,6.416666666666667,4.777777777777778,5.305555555555555,5.777777777777778,5.277777777777778
